foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,matching_score,cleaned_name_pred
Ametek Antavia Zac Grand Sud Logistique 15 Rue S,France,2019,France,FRA,Ametek Antavia Zac Grand Sud Logistique 15 Rue S,2649_FRA,0,Shanghai Xinbang International Trading
Ningbo Evershine Imp. Exp.,China,2019,China,CHN,Ningbo Evershine Imp Exp,23750_CHN,0,Shanghai Xinbang International Trading
Feng Yue Technology,Taiwan,2020,Taiwan,TWN,Chong Ye Technology,907_TWN,84,Shanghai Xinbang International Trading
Realply Industries Private Ltd.,India,2020,India,IND,Sapl Industries Private Ltd,1167_IND,91,Shanghai Xinbang International Trading
Ping Collection Ltd.,United Kingdom,2020,United Kingdom,GBR,Ping Collection,218_GBR,88,Shanghai Xinbang International Trading
Textile Omnes S A,Colombia,2020,Colombia,COL,Textile Omnes S A,453_COL,0,Shanghai Xinbang International Trading
Shandong Kingshore Hometextile Group,China,2019,China,CHN,Shandong Kingshore Hometextile Group,38772_CHN,0,Shanghai Xinbang International Trading
Peso Unipessonal Lda,East Timor,2019,East Timor,TLS,Raques Unipessoal Lda,13_TLS,83,Shanghai Xinbang International Trading
Wholesale Unlimited Dba Hidden Treasures,United States,2019,United States,USA,Wholesale Unlimited Dba Hidden Treasures,7394_USA,0,Shanghai Xinbang International Trading
Malda Pack Cc As Agents For Food Products Internat,South Africa,2020,South Africa,ZAF,Malda Pack Cc As Agents For Food Products Internat,1108_ZAF,0,Shanghai Xinbang International Trading
Llc Manuli Stretch,Russia,2019,Russia,RUS,Llc Manuli Stretch,562_RUS,0,Shanghai Xinbang International Trading
Idaka America Inc. Cincinnati,United States,2020,United States,USA,Idaka America Inc Cincinnati,24924_USA,0,Shanghai Xinbang International Trading
Guandong Zhongma Taiyin Ivestment,China,2020,China,CHN,Guandong Zhongma Taiyin Ivestment,5587_CHN,0,Shanghai Xinbang International Trading
Idec Izumi Taiwan Corporation,Taiwan,2020,Taiwan,TWN,Idec Izumi Taiwan Corporation,4561_TWN,0,Shanghai Xinbang International Trading
Mediashop Gmb H,Austria,2019,Austria,AUT,Mediashop Gmb H,165_AUT,100,Shanghai Xinbang International Trading
Ashley,Malaysia,2020,Malaysia,MYS,Ashley,9315_MYS,0,Shanghai Xinbang International Trading
Bosch Rexroth Ag Plant Ketsch,Germany,2020,Germany,DEU,Bosch Rexroth Ag Plant Ketsch,7281_DEU,0,Shanghai Xinbang International Trading
Ofree Thailand,Thailand,2019,Thailand,THA,Sure Thailand,3002_THA,81,Shanghai Xinbang International Trading
"Zjg Bsq Hainei Int Trading Co., Ltd.",China,2019,China,CHN,"Zjg Bsq Hainei Int Trading Co, Ltd",18391_CHN,0,Shanghai Xinbang International Trading
Zhuhai Umeki Automation Technology,China,2020,China,CHN,Zhuhai Lingzhi Automation Technology,8803_CHN,86,Shanghai Xinbang International Trading
Viva Fresh Sh P K,Serbia,2020,Serbia,SRB,Viva Fresh Sh P K,78_SRB,0,Shanghai Xinbang International Trading
Yamaha Electronics Mfg. M Sdn Bhd,Malaysia,2019,Malaysia,MYS,Yamaha Electronics Mfg M Sdn Bhd,74_MYS,100,Shanghai Xinbang International Trading
Hunter Douglas Europe B V,Germany,2019,Germany,DEU,Hunter Douglas Europe B V,3247_DEU,0,Shanghai Xinbang International Trading
W A Bogaars,Australia,2019,Australia,AUS,W A Bogaars,2601_AUS,0,Shanghai Xinbang International Trading
Dknygii,United States,2019,United States,USA,Dknygii,466_USA,100,Shanghai Xinbang International Trading
Dns Mobility Mobility,Myanmar,2019,Myanmar,MMR,Dns Mobility Mobility,950_MMR,0,Shanghai Xinbang International Trading
Kordsa,Netherlands,2019,Netherlands,NLD,Kordsa,1912_NLD,0,Shanghai Xinbang International Trading
Tulipblu B V Basic Water Needs,Netherlands,2019,Netherlands,NLD,Tulipblu B V Basic Water Needs,4962_NLD,0,Shanghai Xinbang International Trading
Ningbo Rl Cookware Bake Ware Mfg.,China,2019,China,CHN,Ningbo Rl Cookware Bake Ware Mfg,35744_CHN,100,Shanghai Xinbang International Trading
Ehc Escalator Polymer Shanghai,China,2019,China,CHN,Ehc Escalator Polymer Shanghai,50924_CHN,0,Shanghai Xinbang International Trading
Adidas International Trading Ag600000,United States,2020,United States,USA,Adidas International Trading Ag,246_USA,91,Shanghai Xinbang International Trading
Schlumberger Vietnam Services,Vietnam,2020,Vietnam,VNM,Schlumberger Vietnam Services,4250_VNM,100,Shanghai Xinbang International Trading
Towa Denki Thai,Thailand,2019,Thailand,THA,Towa Denki Thai,2373_THA,0,Shanghai Xinbang International Trading
Carrier Airconditioning Refrigeration,China,2020,China,CHN,Carrier Airconditioning Refrigeration,22301_CHN,0,Shanghai Xinbang International Trading
Shi Rong Plastic Products,China,2019,China,CHN,Hongxin Plastic Products,4249_CHN,82,Shanghai Xinbang International Trading
Fonterra Brands Thailand Ltd.,Thailand,2019,Thailand,THA,Fonterra Brands Thailand Ltd,671_THA,0,Shanghai Xinbang International Trading
Changzhou Shuangri Electron,China,2020,China,CHN,Zhangzhou Kehong Electron,29411_CHN,81,Shanghai Xinbang International Trading
Khalifa Trading Llc,United Arab Emirates,2020,United Arab Emirates,ARE,Khalifa Trading L L C,239_ARE,85,Shanghai Xinbang International Trading
Shanghai Raas Blood Products,China,2020,China,CHN,Shanghai Raas Blood Products,36320_CHN,0,Shanghai Xinbang International Trading
Power Monitoring & Diagnostic Technology Ltd.,United States,2019,United States,USA,Power Monitoring & Diagnostic Technology Ltd,15504_USA,100,Shanghai Xinbang International Trading
Foshan Everlasting Enterprise,China,2019,China,CHN,Foshan Everlasting Enterprise,14467_CHN,100,Shanghai Xinbang International Trading
Clydeunion Pumps Canada,Canada,2019,Canada,CAN,Clydeunion Pumps Canada,2865_CAN,100,Shanghai Xinbang International Trading
Nombre Comercial Dkarmen,Peru,2019,Peru,PER,Nombre Comercial Dkarmen,346_PER,0,Shanghai Xinbang International Trading
Maz Enterprises,Pakistan,2020,Pakistan,PAK,Ma Interprises,870_PAK,90,Shanghai Xinbang International Trading
Emerging Display Technologies Corp,Taiwan,2019,Taiwan,TWN,Emerging Display Technologies Corp,2971_TWN,0,Shanghai Xinbang International Trading
Showtex Trading L L C,United Arab Emirates,2020,United Arab Emirates,ARE,Newtex Trading L L C,97_ARE,88,Shanghai Xinbang International Trading
Mack Weldon,United States,2020,United States,USA,Mack Weldon,8322_USA,0,Shanghai Xinbang International Trading
Haion Caster Industrial,Taiwan,2020,Taiwan,TWN,Haion Caster Industrial,5208_TWN,0,Shanghai Xinbang International Trading
Oettinger Davidoff Ag,Switzerland,2019,Switzerland,CHE,Oettinger Davidoff Ag,228_CHE,0,Shanghai Xinbang International Trading
Shanghai Qiao Industrial,China,2019,China,CHN,Shanghai Zhizhao Industrial,3660_CHN,90,Shanghai Xinbang International Trading
Hph Corp.,United States,2019,United States,USA,Hph Corp,5462_USA,0,Shanghai Xinbang International Trading
Mizuno Copporation,Japan,2020,Japan,JPN,Mizuno Corporation,220_JPN,94,Shanghai Xinbang International Trading
A S Agarbathi Works,India,2020,India,IND,A S Agarbathi Works,2512_IND,0,Shanghai Xinbang International Trading
Aquaray Hurtownia Akwarystyczna,Poland,2019,Poland,POL,Aquaray Hurtownia Akwarystyczna,587_POL,100,Shanghai Xinbang International Trading
Lien Ta Enterprise,Taiwan,2020,Taiwan,TWN,Ciun Ta Enterprise,1692_TWN,89,Shanghai Xinbang International Trading
"Rotronic Instrument Pte., Ltd.",Singapore,2020,Singapore,SGP,"Rotronic Instrument Pte, Ltd",2348_SGP,0,Shanghai Xinbang International Trading
Changzhou Jiakai Packing Machinery,China,2020,China,CHN,Changzhou Qincheng Packing Machinery,13930_CHN,83,Shanghai Xinbang International Trading
Fdc Misamis Power Corporation,Philippines,2020,Philippines,PHL,Fdc Misamis Power Corporation,742_PHL,0,Shanghai Xinbang International Trading
Jiangyin Aluminium Foil Packaging East C,China,2019,China,CHN,Jiangyin Aluminium Foil Packaging East C,36992_CHN,0,Shanghai Xinbang International Trading
Murad Khan Coal Firewood Trading,United Arab Emirates,2019,United Arab Emirates,ARE,Murad Khan Coal Firewood Trading,1591_ARE,100,Shanghai Xinbang International Trading
Windmill China Ltd.,Hong Kong,2020,Hong Kong,HKG,Windmill China,1488_HKG,88,Shanghai Xinbang International Trading
Brilliant Universal Ltd.,Hong Kong,2019,Hong Kong,HKG,Brilliant Universal Ltd,5132_HKG,0,Shanghai Xinbang International Trading
Mro Market Sdn Bhd,Malaysia,2020,Malaysia,MYS,Mro Market Sdn Bhd,7220_MYS,100,Shanghai Xinbang International Trading
Corda Giovanni,Italy,2020,Italy,ITA,Corda Giovanni,1273_ITA,100,Shanghai Xinbang International Trading
Tancheng Tiancheng Machinery,China,2019,China,CHN,Tancheng Tiancheng Machinery Mfg,17036_CHN,93,Shanghai Xinbang International Trading
Ascot Teak (Pty),Australia,2019,Australia,AUS,Ascot Teak (Pty) Ad,1181_AUS,91,Shanghai Xinbang International Trading
Genetech,United States,2019,United States,USA,Genentech,9453_USA,94,Shanghai Xinbang International Trading
Sunray Macao Commercial Offshore Li,Macau,2020,Macau,MAC,Luen Thai Macao Commercial Offshore,28_MAC,83,Shanghai Xinbang International Trading
Vhold Woodworking Machinery,China,2020,China,CHN,Vhold Woodworking Machinery,56617_CHN,0,Shanghai Xinbang International Trading
Wika Instrumentation Suzhou,China,2019,China,CHN,Wika Instrumentation Suzhou,4515_CHN,100,Shanghai Xinbang International Trading
Germxit,Thailand,2020,Thailand,THA,Germxit,5291_THA,0,Shanghai Xinbang International Trading
Glencore Agriculture B.V.,Netherlands,2020,Netherlands,NLD,Glencore Agriculture B V,3115_NLD,94,Shanghai Xinbang International Trading
Yonmx Deportes S De Rl De,Mexico,2020,Mexico,MEX,Yonmx Deportes S De Rl De,950_MEX,0,Shanghai Xinbang International Trading
Lexmar Technology,China,2019,China,CHN,Loda Technology,5534_CHN,81,Shanghai Xinbang International Trading
Geoflora S A S,Colombia,2020,Colombia,COL,Geoflora S A S,504_COL,0,Shanghai Xinbang International Trading
Kvc Industry Supply Sdn Bhd,Malaysia,2019,Malaysia,MYS,Kvc Industry Supply Sdn Bhd,10132_MYS,0,Shanghai Xinbang International Trading
Rivasha Eco Design Solutions,India,2019,India,IND,Rivasha Eco Design Solutions,10721_IND,0,Shanghai Xinbang International Trading
"Ocean Coatings Vietnam Co., Ltd.",Vietnam,2020,Vietnam,VNM,"Ocean Coatings Vietnam Co, Ltd",8810_VNM,0,Shanghai Xinbang International Trading
Chyi Yang Industrial,Taiwan,2019,Taiwan,TWN,Dah Yuan Industrial,2741_TWN,82,Shanghai Xinbang International Trading
Svitanok Dnipra Ltd. Liability Co.,Ukraine,2020,Ukraine,UKR,Svitanok Dnipra Ltd Liability Co,102_UKR,0,Shanghai Xinbang International Trading
Action First Hong Kong Co.,Hong Kong,2020,Hong Kong,HKG,Action First Hong Kong Co,10468_HKG,0,Shanghai Xinbang International Trading
Jiangyin Aaron Marine Offshore,China,2020,China,CHN,Jiangyin Aaron Marine Offshore,34100_CHN,0,Shanghai Xinbang International Trading
Guangzhou Baoshen Science Ap,China,2020,China,CHN,Guangzhou Baoshen Science Applied,21292_CHN,92,Shanghai Xinbang International Trading
Liebherr Singapore Pte,Singapore,2020,Singapore,SGP,"Liebherr Singapore Pte, Ltd",1447_SGP,90,Shanghai Xinbang International Trading
Beijing Kohler,China,2020,China,CHN,Beijing Kohler,18032_CHN,100,Shanghai Xinbang International Trading
Gemporia Ltd.,United Kingdom,2020,United Kingdom,GBR,Gemporia Ltd,3528_GBR,0,Shanghai Xinbang International Trading
Marles Industria Textile Comercio,Brazil,2019,Brazil,BRA,Marles Industria Textile Comercio,203_BRA,0,Shanghai Xinbang International Trading
Esenteks Tekstil Ve Konf San Tic,Turkey,2020,Turkey,TUR,Esenteks Tekstil Ve Konf San Tic,3267_TUR,0,Shanghai Xinbang International Trading
Cosmo Oil,Japan,2020,Japan,JPN,Cosmo Oil,6478_JPN,0,Shanghai Xinbang International Trading
Essences Parfums,France,2019,France,FRA,Essences Parfums,999_FRA,0,Shanghai Xinbang International Trading
Yiwu Libayer Imp. Exp. Ltd.,China,2019,China,CHN,Yiwu Zibo Imp Exp Ltd,13155_CHN,84,Shanghai Xinbang International Trading
Natco Shanghai Office,China,2019,China,CHN,Ecopel Shanghai Office,50013_CHN,84,Shanghai Xinbang International Trading
Verwijs Imp. & Exp. B V,Netherlands,2020,Netherlands,NLD,Verwijs Imp & Exp B V,735_NLD,100,Shanghai Xinbang International Trading
Sit Indeva Shanghai,China,2020,China,CHN,Sit Indeva Shanghai,19180_CHN,100,Shanghai Xinbang International Trading
Daiden Plastics Shanghai,China,2019,China,CHN,Veka Plastics Shanghai,14662_CHN,83,Shanghai Xinbang International Trading
Kerajet S.A.,Spain,2020,Spain,ESP,Kerajet Sa,2246_ESP,0,Shanghai Xinbang International Trading
Mycargo International Logistics (Pty),Australia,2020,Australia,AUS,Br International Logistic (Pty),1961_AUS,88,Shanghai Xinbang International Trading
Danisco Usa Inc.,United States,2019,United States,USA,Danisco Us Inc,8224_USA,97,Shanghai Xinbang International Trading
Torrid Merchandising Inc.,United States,2020,United States,USA,Fer Merchandising Inc,11105_USA,84,Shanghai Xinbang International Trading
Zeal Refrigeration System,Sri Lanka,2019,Sri Lanka,LKA,Zeal Refrigeration Systems,520_LKA,98,Shanghai Xinbang International Trading
Nantong Teijin,China,2020,China,CHN,Nantong Teijin,2633_CHN,100,Shanghai Xinbang International Trading
Nokia Alcatel,Netherlands,2019,Netherlands,NLD,Nokia Alcatel,3365_NLD,100,Shanghai Xinbang International Trading
Persai Decor Ltd.,Canada,2019,Canada,CAN,Persai Decor Ltd,1035_CAN,100,Shanghai Xinbang International Trading
Akati Imp. & Exp. Pte,Singapore,2020,Singapore,SGP,"Akati Imp & Exp Pte, Ltd",629_SGP,88,Shanghai Xinbang International Trading
Sichuan Junhengtai Electronic Electric Appliance,China,2020,China,CHN,Sichuan Junhengtai Electronic Electric Appliance,24015_CHN,0,Shanghai Xinbang International Trading
Tulsa Winch Z Power Engine Tulsa Winch I,United States,2019,United States,USA,Tulsa Winch Z Power Engine Tulsa Winch I,14773_USA,0,Shanghai Xinbang International Trading
Day Rising Technology Tianjin,China,2020,China,CHN,Zhiqing Technology Tianjin,27145_CHN,84,Shanghai Xinbang International Trading
Hongkong Huirun International Trading On Behalf,Hong Kong,2020,Hong Kong,HKG,Hongkong Huirun International Trading On Behalf,12600_HKG,0,Shanghai Xinbang International Trading
Power Cylinder Products,United Kingdom,2019,United Kingdom,GBR,Power Cylinder Products,5748_GBR,0,Shanghai Xinbang International Trading
Aron Kasei,Japan,2019,Japan,JPN,Aron Kasei,1640_JPN,0,Shanghai Xinbang International Trading
Yangzhou Xusheng Footwear,China,2019,China,CHN,Yangzhou Xusheng Footwear,28093_CHN,0,Shanghai Xinbang International Trading
Top Flavours Bv,Netherlands,2019,Netherlands,NLD,Top Flavours Bv,3444_NLD,0,Shanghai Xinbang International Trading
Alitrans2000 Imp. Sl,Spain,2020,Spain,ESP,Alitrans2000 Imp Sl,2135_ESP,0,Shanghai Xinbang International Trading
Chong Ty Tnhh Sankei Vietnam,Vietnam,2020,Vietnam,VNM,Cong Ty Tnhh Sankei Vietnam,1942_VNM,98,Shanghai Xinbang International Trading
Incepta Pharmaceuticals,Bangladesh,2020,Bangladesh,BGD,Incepta Pharmaceuticals Ltd,205_BGD,92,Shanghai Xinbang International Trading
China Oriental Exp.,China,2019,China,CHN,China Oriental Exp,18856_CHN,100,Shanghai Xinbang International Trading
Deportes Sparta Ltda,Chile,2019,Chile,CHL,Deportes Sparta Ltda,26_CHL,0,Shanghai Xinbang International Trading
Optisource,Kenya,2019,Kenya,KEN,Optisource,244_KEN,100,Shanghai Xinbang International Trading
Wuhan Old Wpc Industry,China,2019,China,CHN,Wuhan Old Wpc Industry,21464_CHN,100,Shanghai Xinbang International Trading
Acrysil Ltd.,India,2019,India,IND,Acrysil Ltd,8992_IND,100,Shanghai Xinbang International Trading
Attn Klm E M Bollore Logistic Nl,Netherlands,2019,Netherlands,NLD,Attn Klm E M Bollore Logistic Nl,1882_NLD,0,Shanghai Xinbang International Trading
City Exp. Gmb H,Jamaica,2019,Jamaica,JAM,City Exp Gmb H,58_JAM,0,Shanghai Xinbang International Trading
Phc Distribution Inc.,Canada,2019,Canada,CAN,Phc Distribution Inc,312_CAN,100,Shanghai Xinbang International Trading
Tangshan High Voltage Porcelain Insulato,China,2019,China,CHN,Tangshan High Voltage Porcelain Insulato,40693_CHN,100,Shanghai Xinbang International Trading
Gasket Suzhou Valve Components Lt,China,2019,China,CHN,Gasket Suzhou Valve Components Lt,16636_CHN,100,Shanghai Xinbang International Trading
Garment 10 Corp. Joint Stock,Vietnam,2019,Vietnam,VNM,Garment 10 Corp Joint Stock,5811_VNM,0,Shanghai Xinbang International Trading
Unitex Corporation,Japan,2019,Japan,JPN,Univance Corporation,67_JPN,84,Shanghai Xinbang International Trading
Piere Fabre Dermocosmetique S A S,France,2019,France,FRA,Piere Fabre Dermocosmetique S A S,3267_FRA,0,Shanghai Xinbang International Trading
Hilton Seychelles Northolme Resort Spapublic,Seychelles,2020,Seychelles,SYC,Hilton Seychelles Northolme Resort Spapublic,118_SYC,0,Shanghai Xinbang International Trading
Harvik Rubber Industries Sdn. Bhd.,Malaysia,2020,Malaysia,MYS,Harvik Rubber Industries Sdn Bhd,9382_MYS,0,Shanghai Xinbang International Trading
Microstar International,Taiwan,2020,Taiwan,TWN,Urofarm International,2090_TWN,82,Shanghai Xinbang International Trading
Radhey Creations,India,2020,India,IND,Radhey Creations,1028_IND,100,Shanghai Xinbang International Trading
Hubei Grand Fuchi Pharmaceutical,China,2020,China,CHN,Hebei Grain Pharmaceutical,5753_CHN,83,Shanghai Xinbang International Trading
Bch Electric Ltd.,India,2020,India,IND,C S Electric Ltd,8449_IND,81,Shanghai Xinbang International Trading
Compagnia Nazionale Italiana Srl,Italy,2020,Italy,ITA,Compagnia Nazionale Italiana Srl,3058_ITA,100,Shanghai Xinbang International Trading
Ruckus Wireless Agility Internat,Singapore,2020,Singapore,SGP,Ruckus Wireless Agility Internat,7910_SGP,100,Shanghai Xinbang International Trading
Midco Industrial Products Marketng Gmb H,Germany,2020,Germany,DEU,Midco Industrial Products Marketng Gmb H,2859_DEU,0,Shanghai Xinbang International Trading
Jinan Cyeeyo Instruments,China,2020,China,CHN,Jinan Cyeeyo Instruments,35406_CHN,0,Shanghai Xinbang International Trading
Viet Sun Service Investment Consultant Corporation,Vietnam,2019,Vietnam,VNM,Viet Sun Service Investment Consultant Corporation,1033_VNM,0,Shanghai Xinbang International Trading
Qingdao Hkd Int Logistics,Hong Kong,2020,Hong Kong,HKG,Qingdao Hkd Int Logistics,12680_HKG,0,Shanghai Xinbang International Trading
Hsd Logistik Gmb H,Germany,2020,Germany,DEU,Odlo Logistik Gmb H,675_DEU,86,Shanghai Xinbang International Trading
Huzhou Jiutong Logistics Machinery,China,2019,China,CHN,Huzhou Jiutong Logistics Machinery,41773_CHN,100,Shanghai Xinbang International Trading
Shenzhen Mk Imp. Exp. Ltd.,China,2020,China,CHN,Shenzhen Mk Imp Exp Ltd,300_CHN,0,Shanghai Xinbang International Trading
"Staubli Singapore Pte., Ltd.",Singapore,2020,Singapore,SGP,"Sourceability Singapore Pte, Ltd",5183_SGP,83,Leonian Singapore Pte
Harris & Bruno International,United States,2020,United States,USA,Harris & Bruno International,26545_USA,100,Shanghai Xinbang International Trading
"Guangzhou 3 Ray Electronics Co., Ltd.",Hong Kong,2020,Hong Kong,HKG,"Guangzhou 3 Ray Electronics Co, Ltd",10209_HKG,0,Shanghai Xinbang International Trading
Asanus Medizintechnik Gmb H,Germany,2019,Germany,DEU,Asanus Medizintechnik Gmb H,5426_DEU,0,Shanghai Xinbang International Trading
Stone Life Llp,India,2020,India,IND,Stone Life Llp,1696_IND,100,Shanghai Xinbang International Trading
Qingdao Shengtengda Plastic Products,China,2019,China,CHN,Qingdao Shengtengda Plastic Products,20934_CHN,100,Shanghai Xinbang International Trading
Shubhalakshmi Polyesters,India,2019,India,IND,Shubhalakshmi Polyesters,4501_IND,0,Shanghai Xinbang International Trading
Ishiyama,Japan,2020,Japan,JPN,Ishiyama,2490_JPN,0,Shanghai Xinbang International Trading
Acellent Textiles,China,2020,China,CHN,Acellent Textiles,21692_CHN,0,Shanghai Xinbang International Trading
Givaudan India,India,2020,India,IND,Givaudan India,418_IND,0,Shanghai Xinbang International Trading
Tappoo Group Of Companies,Fiji,2019,Fiji,FJI,Tappoo Group Of Companies,8_FJI,0,Shanghai Xinbang International Trading
Gkm Services Gmb H Kg,Germany,2020,Germany,DEU,Gkm Services Int Gmb H Kg,7286_DEU,91,Shanghai Xinbang International Trading
Chloral Chemical Pte,Singapore,2020,Singapore,SGP,"Chlor Al Chemical Pte, Ltd",4543_SGP,83,Shanghai Xinbang International Trading
Ipagsa Shanghai Printing Materials,China,2020,China,CHN,Ipagsa Shanghai Printing Materials,25826_CHN,100,Shanghai Xinbang International Trading
Shanghai Jingling Electron Technology,China,2020,China,CHN,Shanghai Li Huang Electronic Technology,215_CHN,84,Shanghai Xinbang International Trading
Zhejiang Huayue Packing Machinery,China,2019,China,CHN,Zhejiang Haizhou Packing Machine,30383_CHN,86,Shanghai Xinbang International Trading
Pranda North America,United States,2020,United States,USA,Puma North America,104_USA,84,Shanghai Xinbang International Trading
Chalco Zibo International Trading Lt,China,2019,China,CHN,Chalco Qingdao International Trading,338_CHN,86,Shanghai Xinbang International Trading
Terex Corporation,Switzerland,2020,Switzerland,CHE,Terex Corporation,1172_CHE,0,Shanghai Xinbang International Trading
Khurana Carbides,India,2020,India,IND,Khurana Carbides,8333_IND,0,Shanghai Xinbang International Trading
Gurukripaa Tools,India,2019,India,IND,Gurukripaa Tools,9398_IND,0,Shanghai Xinbang International Trading
Dic Graphics Guangzhou,China,2020,China,CHN,Dic Graphics Guangzhou,4980_CHN,0,Shanghai Xinbang International Trading
Moderntrend S R O,Ukraine,2020,Ukraine,UKR,Moderntrend S R O,397_UKR,0,Shanghai Xinbang International Trading
Guangdong Huilai Power Industry Fuel,China,2020,China,CHN,Guangdong Power Industry Fuel,2233_CHN,89,Shanghai Xinbang International Trading
Yiwu Zhenxang Imp. Exp.,China,2019,China,CHN,Yiwu Zhencang Imp Exp Lt,26891_CHN,89,Shanghai Xinbang International Trading
Asian Institute Of Technology,Thailand,2019,Thailand,THA,Asian Institute Of Technology,3236_THA,0,Shanghai Xinbang International Trading
O C Keckley Co.,United States,2019,United States,USA,O C Keckley Co,7127_USA,100,Shanghai Xinbang International Trading
Santec,Japan,2020,Japan,JPN,Santei,107_JPN,83,Shanghai Xinbang International Trading
"Ntc Wismettac Singapore Pte., Ltd.",Singapore,2020,Singapore,SGP,"Ntc Wismettac Singapore Pte, Ltd",2726_SGP,0,Leonian Singapore Pte
Fairway Enterprises Co.,India,2019,India,IND,Fairway Enterprises Co,7669_IND,100,Shanghai Xinbang International Trading
Seibu Electric Machinery,Japan,2019,Japan,JPN,Seibu Electric Machinery,9286_JPN,0,Shanghai Xinbang International Trading
Zoom Tech Pte,Singapore,2019,Singapore,SGP,Zoom Tech Pte,3981_SGP,0,Shanghai Xinbang International Trading
Aga Truck Parts,United States,2020,United States,USA,Aga Truck Parts,18487_USA,100,Shanghai Xinbang International Trading
Sankuanz,China,2019,China,CHN,Sankuanz,4735_CHN,100,Shanghai Xinbang International Trading
Metso South Africa (Pty),South Africa,2019,South Africa,ZAF,Mattel South Africa (Pty),13_ZAF,86,Shanghai Xinbang International Trading
Konica Minolta Bussiness Technologi,Malaysia,2019,Malaysia,MYS,Konica Minolta Bussiness Technologi,919_MYS,0,Shanghai Xinbang International Trading
Shenzhen Shi Toppeak Precision Mould Plastics,China,2019,China,CHN,Shenzhen Henka Precision Mould Plastic,10103_CHN,84,Shanghai Xinbang International Trading
Shanghai Nicede International Trd,China,2020,China,CHN,Shanghai Hiexpo International,2631_CHN,81,Shanghai Xinbang International Trading
Victoria Fans Ltd.,United Kingdom,2020,United Kingdom,GBR,Victoria Fans Ltd,6505_GBR,0,Shanghai Xinbang International Trading
Issayarra,Mali,2020,Mali,MLI,Issayarra,6_MLI,0,Shanghai Xinbang International Trading
"Stream Line Corporation Co., Ltd.",Thailand,2020,Thailand,THA,"Stream Line Corporation Co, Ltd",730_THA,100,Shanghai Xinbang International Trading
Jmt Enterpricse S R O,Czech Republic,2020,Czech Republic,CZE,Jmt Enterpricse S R O,284_CZE,0,Shanghai Xinbang International Trading
Hunan Zhongchuang Chemical,China,2020,China,CHN,Hunan Zhongchuang Chemical,31116_CHN,100,Shanghai Xinbang International Trading
Sam Pasceri,United States,2020,United States,USA,Sam Pasceri,17146_USA,0,Shanghai Xinbang International Trading
Pedro Gil S.L.,Spain,2019,Spain,ESP,Pedro Gil Sl,2629_ESP,100,Shanghai Xinbang International Trading
Memstar Mianyang,China,2020,China,CHN,Memstar Mianyang,34789_CHN,0,Shanghai Xinbang International Trading
Profins,United Kingdom,2019,United Kingdom,GBR,Profins,5745_GBR,0,Shanghai Xinbang International Trading
Nike 88 Orlando,United States,2019,United States,USA,Nike 88 Orlando,11983_USA,100,Shanghai Xinbang International Trading
Original Shop,Reunion,2019,Reunion,REU,Original Shop,169_REU,0,Shanghai Xinbang International Trading
Castorgirnar Industries,India,2020,India,IND,Castorgirnar Industries,6854_IND,100,Shanghai Xinbang International Trading
Dalian Yifeng Trading,China,2019,China,CHN,Danlian Yifeng Trading,10467_CHN,98,Shanghai Xinbang International Trading
Bowker Vietnam Garment Fty,Vietnam,2020,Vietnam,VNM,Bowker Vietnam Garment Fty,1551_VNM,0,Shanghai Xinbang International Trading
Flextronics Elect Technology Sz Hika,Hong Kong,2020,Hong Kong,HKG,Flextronics Elect Technology Sz Hika,1543_HKG,100,Shanghai Xinbang International Trading
Skynet Worldwide M Sdn Bhd,Malaysia,2019,Malaysia,MYS,Skynet Worldwide M Sdn Bhd,157_MYS,100,Shanghai Xinbang International Trading
Barry Callebaut Cocoa Ag,Switzerland,2020,Switzerland,CHE,Barry Callebaut Sourcing Ag,19_CHE,82,Shanghai Xinbang International Trading
Beijing Long Distance Ecommerce,China,2019,China,CHN,Beijing Long Distance Ecommerce,36459_CHN,0,Shanghai Xinbang International Trading
Nine Street Fresh Frozen Supply Pg0455728 T,Malaysia,2020,Malaysia,MYS,Nine Street Fresh Frozen Supply Pg0455728 T,2998_MYS,0,Shanghai Xinbang International Trading
Fichet Bauche,France,2019,France,FRA,Fichetbauche,1500_FRA,88,Shanghai Xinbang International Trading
Timbertoys (Pty),South Africa,2019,South Africa,ZAF,Timbertoys (Pty),475_ZAF,100,Shanghai Xinbang International Trading
Meidensha Corporation,Japan,2020,Japan,JPN,Meidensha Corporation,7334_JPN,0,Sampo Corporation
Hadjee Textiles,Singapore,2019,Singapore,SGP,Hadjee Textiles,3247_SGP,100,Shanghai Xinbang International Trading
La Mondiale Des Produits,Tunisia,2020,Tunisia,TUN,La Mondiale Des Produits,91_TUN,0,Shanghai Xinbang International Trading
Showa Denko Materials Johor Sdn Bhd,Singapore,2020,Singapore,SGP,Showa Denko Materials Johor Sdn Bhd,8781_SGP,0,Shanghai Xinbang International Trading
Cargohub Groupage Services Pte,Singapore,2019,Singapore,SGP,"Cargohub Groupage Services Pte, Ltd",3072_SGP,92,Shanghai Xinbang International Trading
Nike 288 Tyler,United States,2019,United States,USA,Nike 288 Tyler,16590_USA,0,Shanghai Xinbang International Trading
Golden Fortune Semi Hk Ltd.,China,2020,China,CHN,Golden Fortune Semi Hk Ltd,56218_CHN,0,Shanghai Xinbang International Trading
